,id,country,league,season,stage,winner
115,116,Belgium,Belgium Jupiler League,2008/2009,20,8342
116,117,Belgium,Belgium Jupiler League,2008/2009,20,9993
117,118,Belgium,Belgium Jupiler League,2008/2009,21,8342
118,119,Belgium,Belgium Jupiler League,2008/2009,21,9985
119,120,Belgium,Belgium Jupiler League,2008/2009,21,8635
120,121,Belgium,Belgium Jupiler League,2008/2009,21,10000
122,123,Belgium,Belgium Jupiler League,2008/2009,21,10001
123,124,Belgium,Belgium Jupiler League,2008/2009,21,8203
124,125,Belgium,Belgium Jupiler League,2008/2009,21,9991
126,127,Belgium,Belgium Jupiler League,2008/2009,22,8635
127,128,Belgium,Belgium Jupiler League,2008/2009,22,9987
130,131,Belgium,Belgium Jupiler League,2008/2009,22,10000
131,132,Belgium,Belgium Jupiler League,2008/2009,22,9994
133,134,Belgium,Belgium Jupiler League,2008/2009,22,9985
136,137,Belgium,Belgium Jupiler League,2008/2009,23,8635
137,138,Belgium,Belgium Jupiler League,2008/2009,23,9999
138,139,Belgium,Belgium Jupiler League,2008/2009,23,10000
141,142,Belgium,Belgium Jupiler League,2008/2009,23,8203
143,144,Belgium,Belgium Jupiler League,2008/2009,23,9993
145,146,Belgium,Belgium Jupiler League,2008/2009,24,8203
146,147,Belgium,Belgium Jupiler League,2008/2009,24,9986
147,148,Belgium,Belgium Jupiler League,2008/2009,24,9985
148,149,Belgium,Belgium Jupiler League,2008/2009,24,9991
149,150,Belgium,Belgium Jupiler League,2008/2009,24,8342
150,151,Belgium,Belgium Jupiler League,2008/2009,24,9993
151,152,Belgium,Belgium Jupiler League,2008/2009,24,7947
153,154,Belgium,Belgium Jupiler League,2008/2009,25,8342
154,155,Belgium,Belgium Jupiler League,2008/2009,25,9985
155,156,Belgium,Belgium Jupiler League,2008/2009,25,8635
156,157,Belgium,Belgium Jupiler League,2008/2009,25,9994
157,158,Belgium,Belgium Jupiler League,2008/2009,25,9987
158,159,Belgium,Belgium Jupiler League,2008/2009,25,8203
159,160,Belgium,Belgium Jupiler League,2008/2009,25,9999
160,161,Belgium,Belgium Jupiler League,2008/2009,25,9991
162,163,Belgium,Belgium Jupiler League,2008/2009,26,8203
163,164,Belgium,Belgium Jupiler League,2008/2009,26,9985
164,165,Belgium,Belgium Jupiler League,2008/2009,26,9993
166,167,Belgium,Belgium Jupiler League,2008/2009,26,7947
167,168,Belgium,Belgium Jupiler League,2008/2009,26,9991
169,170,Belgium,Belgium Jupiler League,2008/2009,26,9996
170,171,Belgium,Belgium Jupiler League,2008/2009,26,10001
171,172,Belgium,Belgium Jupiler League,2008/2009,27,8342
172,173,Belgium,Belgium Jupiler League,2008/2009,27,9986
173,174,Belgium,Belgium Jupiler League,2008/2009,27,9991
174,175,Belgium,Belgium Jupiler League,2008/2009,27,9994
175,176,Belgium,Belgium Jupiler League,2008/2009,27,10001
176,177,Belgium,Belgium Jupiler League,2008/2009,27,9999
177,178,Belgium,Belgium Jupiler League,2008/2009,27,9996
178,179,Belgium,Belgium Jupiler League,2008/2009,27,9987
179,180,Belgium,Belgium Jupiler League,2008/2009,27,8635
181,182,Belgium,Belgium Jupiler League,2008/2009,28,9996
182,183,Belgium,Belgium Jupiler League,2008/2009,28,8342
183,184,Belgium,Belgium Jupiler League,2008/2009,28,10000
185,186,Belgium,Belgium Jupiler League,2008/2009,28,9999
187,188,Belgium,Belgium Jupiler League,2008/2009,28,10001
188,189,Belgium,Belgium Jupiler League,2008/2009,28,9985
189,190,Belgium,Belgium Jupiler League,2008/2009,29,8635
190,191,Belgium,Belgium Jupiler League,2008/2009,29,9999
191,192,Belgium,Belgium Jupiler League,2008/2009,29,10000
192,193,Belgium,Belgium Jupiler League,2008/2009,29,9985
193,194,Belgium,Belgium Jupiler League,2008/2009,29,7947
194,195,Belgium,Belgium Jupiler League,2008/2009,29,8203
195,196,Belgium,Belgium Jupiler League,2008/2009,29,9986
196,197,Belgium,Belgium Jupiler League,2008/2009,29,9984
197,198,Belgium,Belgium Jupiler League,2008/2009,29,9991
198,199,Belgium,Belgium Jupiler League,2008/2009,3,8635
199,200,Belgium,Belgium Jupiler League,2008/2009,3,9987
200,201,Belgium,Belgium Jupiler League,2008/2009,3,9984
201,202,Belgium,Belgium Jupiler League,2008/2009,3,9991
202,203,Belgium,Belgium Jupiler League,2008/2009,3,9996
203,204,Belgium,Belgium Jupiler League,2008/2009,3,10000
205,206,Belgium,Belgium Jupiler League,2008/2009,3,8342
206,207,Belgium,Belgium Jupiler League,2008/2009,3,10001
207,208,Belgium,Belgium Jupiler League,2008/2009,30,8635
208,209,Belgium,Belgium Jupiler League,2008/2009,30,9985
209,210,Belgium,Belgium Jupiler League,2008/2009,30,8342
210,211,Belgium,Belgium Jupiler League,2008/2009,30,4049
211,212,Belgium,Belgium Jupiler League,2008/2009,30,9984
213,214,Belgium,Belgium Jupiler League,2008/2009,30,7947
214,215,Belgium,Belgium Jupiler League,2008/2009,30,10000
215,216,Belgium,Belgium Jupiler League,2008/2009,30,9994
216,217,Belgium,Belgium Jupiler League,2008/2009,31,9993
217,218,Belgium,Belgium Jupiler League,2008/2009,31,9987
218,219,Belgium,Belgium Jupiler League,2008/2009,31,9986
219,220,Belgium,Belgium Jupiler League,2008/2009,31,9991
220,221,Belgium,Belgium Jupiler League,2008/2009,31,8635
221,222,Belgium,Belgium Jupiler League,2008/2009,31,9985
222,223,Belgium,Belgium Jupiler League,2008/2009,31,9994
224,225,Belgium,Belgium Jupiler League,2008/2009,31,10001
228,229,Belgium,Belgium Jupiler League,2008/2009,32,8203
229,230,Belgium,Belgium Jupiler League,2008/2009,32,9991
230,231,Belgium,Belgium Jupiler League,2008/2009,32,9994
231,232,Belgium,Belgium Jupiler League,2008/2009,32,10001
232,233,Belgium,Belgium Jupiler League,2008/2009,32,8571
233,234,Belgium,Belgium Jupiler League,2008/2009,32,9996
234,235,Belgium,Belgium Jupiler League,2008/2009,33,9985
235,236,Belgium,Belgium Jupiler League,2008/2009,33,9986
236,237,Belgium,Belgium Jupiler League,2008/2009,33,10000
237,238,Belgium,Belgium Jupiler League,2008/2009,33,9991
238,239,Belgium,Belgium Jupiler League,2008/2009,33,7947
239,240,Belgium,Belgium Jupiler League,2008/2009,33,9993
240,241,Belgium,Belgium Jupiler League,2008/2009,33,8635
242,243,Belgium,Belgium Jupiler League,2008/2009,33,9984
243,244,Belgium,Belgium Jupiler League,2008/2009,34,8635
244,245,Belgium,Belgium Jupiler League,2008/2009,34,9985
245,246,Belgium,Belgium Jupiler League,2008/2009,34,10000
246,247,Belgium,Belgium Jupiler League,2008/2009,34,9986
247,248,Belgium,Belgium Jupiler League,2008/2009,34,9984
248,249,Belgium,Belgium Jupiler League,2008/2009,34,8203
249,250,Belgium,Belgium Jupiler League,2008/2009,34,8342
250,251,Belgium,Belgium Jupiler League,2008/2009,34,8571
251,252,Belgium,Belgium Jupiler League,2008/2009,34,4049
253,254,Belgium,Belgium Jupiler League,2008/2009,4,9985
254,255,Belgium,Belgium Jupiler League,2008/2009,4,8635
255,256,Belgium,Belgium Jupiler League,2008/2009,4,9987
256,257,Belgium,Belgium Jupiler League,2008/2009,4,9986
259,260,Belgium,Belgium Jupiler League,2008/2009,4,9996
260,261,Belgium,Belgium Jupiler League,2008/2009,4,9993
261,262,Belgium,Belgium Jupiler League,2008/2009,5,8635
262,263,Belgium,Belgium Jupiler League,2008/2009,5,8342
263,264,Belgium,Belgium Jupiler League,2008/2009,5,9984
264,265,Belgium,Belgium Jupiler League,2008/2009,5,8203
265,266,Belgium,Belgium Jupiler League,2008/2009,5,7947
266,267,Belgium,Belgium Jupiler League,2008/2009,5,9994
267,268,Belgium,Belgium Jupiler League,2008/2009,5,8571
268,269,Belgium,Belgium Jupiler League,2008/2009,5,9985
270,271,Belgium,Belgium Jupiler League,2008/2009,6,8342
271,272,Belgium,Belgium Jupiler League,2008/2009,6,9985
272,273,Belgium,Belgium Jupiler League,2008/2009,6,9998
273,274,Belgium,Belgium Jupiler League,2008/2009,6,10000
274,275,Belgium,Belgium Jupiler League,2008/2009,6,8571
276,277,Belgium,Belgium Jupiler League,2008/2009,6,8203
277,278,Belgium,Belgium Jupiler League,2008/2009,6,9987
279,280,Belgium,Belgium Jupiler League,2008/2009,7,8635
280,281,Belgium,Belgium Jupiler League,2008/2009,7,9987
282,283,Belgium,Belgium Jupiler League,2008/2009,7,9984
284,285,Belgium,Belgium Jupiler League,2008/2009,7,8342
286,287,Belgium,Belgium Jupiler League,2008/2009,7,4049
287,288,Belgium,Belgium Jupiler League,2008/2009,7,10001
288,289,Belgium,Belgium Jupiler League,2008/2009,8,8342
289,290,Belgium,Belgium Jupiler League,2008/2009,8,9985
290,291,Belgium,Belgium Jupiler League,2008/2009,8,10000
291,292,Belgium,Belgium Jupiler League,2008/2009,8,9994
292,293,Belgium,Belgium Jupiler League,2008/2009,8,9987
293,294,Belgium,Belgium Jupiler League,2008/2009,8,10001
294,295,Belgium,Belgium Jupiler League,2008/2009,8,9996
295,296,Belgium,Belgium Jupiler League,2008/2009,8,9991
296,297,Belgium,Belgium Jupiler League,2008/2009,8,9986
297,298,Belgium,Belgium Jupiler League,2008/2009,9,8635
301,302,Belgium,Belgium Jupiler League,2008/2009,9,7947
302,303,Belgium,Belgium Jupiler League,2008/2009,9,9991
303,304,Belgium,Belgium Jupiler League,2008/2009,9,10000
305,306,Belgium,Belgium Jupiler League,2008/2009,9,10001
307,308,Belgium,Belgium Jupiler League,2009/2010,1,8342
308,309,Belgium,Belgium Jupiler League,2009/2010,1,9991
310,311,Belgium,Belgium Jupiler League,2009/2010,1,8635
311,312,Belgium,Belgium Jupiler League,2009/2010,1,8203
313,314,Belgium,Belgium Jupiler League,2009/2010,10,8342
314,315,Belgium,Belgium Jupiler League,2009/2010,10,9985
315,316,Belgium,Belgium Jupiler League,2009/2010,10,10000
317,318,Belgium,Belgium Jupiler League,2009/2010,10,8203
318,319,Belgium,Belgium Jupiler League,2009/2010,10,9999
319,320,Belgium,Belgium Jupiler League,2009/2010,10,9993
320,321,Belgium,Belgium Jupiler League,2009/2010,11,8342
321,322,Belgium,Belgium Jupiler League,2009/2010,11,8635
322,323,Belgium,Belgium Jupiler League,2009/2010,11,8203
323,324,Belgium,Belgium Jupiler League,2009/2010,11,10000
325,326,Belgium,Belgium Jupiler League,2009/2010,11,8571
326,327,Belgium,Belgium Jupiler League,2009/2010,11,10001
328,329,Belgium,Belgium Jupiler League,2009/2010,12,9991
331,332,Belgium,Belgium Jupiler League,2009/2010,12,9987
332,333,Belgium,Belgium Jupiler League,2009/2010,12,8635
333,334,Belgium,Belgium Jupiler League,2009/2010,12,8342
334,335,Belgium,Belgium Jupiler League,2009/2010,13,8342
335,336,Belgium,Belgium Jupiler League,2009/2010,13,8635
336,337,Belgium,Belgium Jupiler League,2009/2010,13,9987
338,339,Belgium,Belgium Jupiler League,2009/2010,13,9993
339,340,Belgium,Belgium Jupiler League,2009/2010,13,8571
341,342,Belgium,Belgium Jupiler League,2009/2010,14,9985
342,343,Belgium,Belgium Jupiler League,2009/2010,14,8635
343,344,Belgium,Belgium Jupiler League,2009/2010,14,9991
344,345,Belgium,Belgium Jupiler League,2009/2010,14,9984
346,347,Belgium,Belgium Jupiler League,2009/2010,14,9999
347,348,Belgium,Belgium Jupiler League,2009/2010,14,9993
348,349,Belgium,Belgium Jupiler League,2009/2010,15,9993
349,350,Belgium,Belgium Jupiler League,2009/2010,15,8635
351,352,Belgium,Belgium Jupiler League,2009/2010,15,10000
352,353,Belgium,Belgium Jupiler League,2009/2010,15,9991
353,354,Belgium,Belgium Jupiler League,2009/2010,15,8571
354,355,Belgium,Belgium Jupiler League,2009/2010,15,10001
355,356,Belgium,Belgium Jupiler League,2009/2010,16,8342
356,357,Belgium,Belgium Jupiler League,2009/2010,16,8635
357,358,Belgium,Belgium Jupiler League,2009/2010,16,9997
358,359,Belgium,Belgium Jupiler League,2009/2010,16,10000
359,360,Belgium,Belgium Jupiler League,2009/2010,16,9991
360,361,Belgium,Belgium Jupiler League,2009/2010,16,10001
361,362,Belgium,Belgium Jupiler League,2009/2010,16,9993
365,366,Belgium,Belgium Jupiler League,2009/2010,17,8635
366,367,Belgium,Belgium Jupiler League,2009/2010,17,8342
367,368,Belgium,Belgium Jupiler League,2009/2010,17,8571
368,369,Belgium,Belgium Jupiler League,2009/2010,17,9991
370,371,Belgium,Belgium Jupiler League,2009/2010,18,9999
371,372,Belgium,Belgium Jupiler League,2009/2010,18,8571
372,373,Belgium,Belgium Jupiler League,2009/2010,18,10000
373,374,Belgium,Belgium Jupiler League,2009/2010,18,9991
374,375,Belgium,Belgium Jupiler League,2009/2010,18,8635
376,377,Belgium,Belgium Jupiler League,2009/2010,19,8635
378,379,Belgium,Belgium Jupiler League,2009/2010,19,9985
379,380,Belgium,Belgium Jupiler League,2009/2010,19,9991
381,382,Belgium,Belgium Jupiler League,2009/2010,19,8203
382,383,Belgium,Belgium Jupiler League,2009/2010,19,9997
383,384,Belgium,Belgium Jupiler League,2009/2010,2,8342
384,385,Belgium,Belgium Jupiler League,2009/2010,2,8635
387,388,Belgium,Belgium Jupiler League,2009/2010,2,9991
390,391,Belgium,Belgium Jupiler League,2009/2010,20,8342
391,392,Belgium,Belgium Jupiler League,2009/2010,20,9985
392,393,Belgium,Belgium Jupiler League,2009/2010,20,9997
393,394,Belgium,Belgium Jupiler League,2009/2010,20,10000
394,395,Belgium,Belgium Jupiler League,2009/2010,20,9986
396,397,Belgium,Belgium Jupiler League,2009/2010,20,9993
397,398,Belgium,Belgium Jupiler League,2009/2010,21,8635
399,400,Belgium,Belgium Jupiler League,2009/2010,21,9984
400,401,Belgium,Belgium Jupiler League,2009/2010,21,9994
401,402,Belgium,Belgium Jupiler League,2009/2010,21,8342
402,403,Belgium,Belgium Jupiler League,2009/2010,21,8203
403,404,Belgium,Belgium Jupiler League,2009/2010,21,9991
404,405,Belgium,Belgium Jupiler League,2009/2010,22,8342
405,406,Belgium,Belgium Jupiler League,2009/2010,22,8635
406,407,Belgium,Belgium Jupiler League,2009/2010,22,9997
407,408,Belgium,Belgium Jupiler League,2009/2010,22,9987
409,410,Belgium,Belgium Jupiler League,2009/2010,22,8203
410,411,Belgium,Belgium Jupiler League,2009/2010,22,9984
411,412,Belgium,Belgium Jupiler League,2009/2010,23,9987
412,413,Belgium,Belgium Jupiler League,2009/2010,23,10000
413,414,Belgium,Belgium Jupiler League,2009/2010,23,9984
414,415,Belgium,Belgium Jupiler League,2009/2010,23,9999
415,416,Belgium,Belgium Jupiler League,2009/2010,23,8571
418,419,Belgium,Belgium Jupiler League,2009/2010,24,9985
419,420,Belgium,Belgium Jupiler League,2009/2010,24,10001
420,421,Belgium,Belgium Jupiler League,2009/2010,24,9986
421,422,Belgium,Belgium Jupiler League,2009/2010,24,10000
422,423,Belgium,Belgium Jupiler League,2009/2010,24,9984
424,425,Belgium,Belgium Jupiler League,2009/2010,24,8635
425,426,Belgium,Belgium Jupiler League,2009/2010,25,9997
426,427,Belgium,Belgium Jupiler League,2009/2010,25,9987
428,429,Belgium,Belgium Jupiler League,2009/2010,25,9984
429,430,Belgium,Belgium Jupiler League,2009/2010,25,9994
430,431,Belgium,Belgium Jupiler League,2009/2010,25,8571
432,433,Belgium,Belgium Jupiler League,2009/2010,26,9985
433,434,Belgium,Belgium Jupiler League,2009/2010,26,8635
434,435,Belgium,Belgium Jupiler League,2009/2010,26,9984
436,437,Belgium,Belgium Jupiler League,2009/2010,26,8203
437,438,Belgium,Belgium Jupiler League,2009/2010,26,8571
439,440,Belgium,Belgium Jupiler League,2009/2010,27,8342
440,441,Belgium,Belgium Jupiler League,2009/2010,27,8635
441,442,Belgium,Belgium Jupiler League,2009/2010,27,9987
443,444,Belgium,Belgium Jupiler League,2009/2010,27,9997
444,445,Belgium,Belgium Jupiler League,2009/2010,27,8571
445,446,Belgium,Belgium Jupiler League,2009/2010,27,10001
448,449,Belgium,Belgium Jupiler League,2009/2010,28,9984
449,450,Belgium,Belgium Jupiler League,2009/2010,28,9994
451,452,Belgium,Belgium Jupiler League,2009/2010,28,8635
453,454,Belgium,Belgium Jupiler League,2009/2010,29,8342
454,455,Belgium,Belgium Jupiler League,2009/2010,29,8635
455,456,Belgium,Belgium Jupiler League,2009/2010,29,9997
457,458,Belgium,Belgium Jupiler League,2009/2010,29,9991
458,459,Belgium,Belgium Jupiler League,2009/2010,29,8571
459,460,Belgium,Belgium Jupiler League,2009/2010,29,10001
460,461,Belgium,Belgium Jupiler League,2009/2010,3,8635
462,463,Belgium,Belgium Jupiler League,2009/2010,3,9986
464,465,Belgium,Belgium Jupiler League,2009/2010,3,9997
465,466,Belgium,Belgium Jupiler League,2009/2010,3,8203
466,467,Belgium,Belgium Jupiler League,2009/2010,3,9985
467,468,Belgium,Belgium Jupiler League,2009/2010,30,9991
469,470,Belgium,Belgium Jupiler League,2009/2010,30,9984
470,471,Belgium,Belgium Jupiler League,2009/2010,30,8635
471,472,Belgium,Belgium Jupiler League,2009/2010,30,8203
473,474,Belgium,Belgium Jupiler League,2009/2010,30,8342
476,477,Belgium,Belgium Jupiler League,2009/2010,4,9997
477,478,Belgium,Belgium Jupiler League,2009/2010,4,8635
478,479,Belgium,Belgium Jupiler League,2009/2010,4,9991
479,480,Belgium,Belgium Jupiler League,2009/2010,4,9987
480,481,Belgium,Belgium Jupiler League,2009/2010,4,8203
483,484,Belgium,Belgium Jupiler League,2009/2010,5,8342
484,485,Belgium,Belgium Jupiler League,2009/2010,5,8571
485,486,Belgium,Belgium Jupiler League,2009/2010,5,9997
486,487,Belgium,Belgium Jupiler League,2009/2010,5,9986
487,488,Belgium,Belgium Jupiler League,2009/2010,5,10000
489,490,Belgium,Belgium Jupiler League,2009/2010,6,9985
490,491,Belgium,Belgium Jupiler League,2009/2010,6,9997
491,492,Belgium,Belgium Jupiler League,2009/2010,6,8571
492,493,Belgium,Belgium Jupiler League,2009/2010,6,9984
493,494,Belgium,Belgium Jupiler League,2009/2010,6,9991
494,495,Belgium,Belgium Jupiler League,2009/2010,6,9993
496,497,Belgium,Belgium Jupiler League,2009/2010,7,9986
497,498,Belgium,Belgium Jupiler League,2009/2010,7,9993
498,499,Belgium,Belgium Jupiler League,2009/2010,7,9985
499,500,Belgium,Belgium Jupiler League,2009/2010,7,9997
500,501,Belgium,Belgium Jupiler League,2009/2010,7,8203
501,502,Belgium,Belgium Jupiler League,2009/2010,7,8342
502,503,Belgium,Belgium Jupiler League,2009/2010,8,8342
504,505,Belgium,Belgium Jupiler League,2009/2010,8,9987
505,506,Belgium,Belgium Jupiler League,2009/2010,8,8203
506,507,Belgium,Belgium Jupiler League,2009/2010,8,10001
507,508,Belgium,Belgium Jupiler League,2009/2010,8,9994
508,509,Belgium,Belgium Jupiler League,2009/2010,8,9993
509,510,Belgium,Belgium Jupiler League,2009/2010,9,8635
511,512,Belgium,Belgium Jupiler League,2009/2010,9,10000
512,513,Belgium,Belgium Jupiler League,2009/2010,9,9984
513,514,Belgium,Belgium Jupiler League,2009/2010,9,9994
514,515,Belgium,Belgium Jupiler League,2009/2010,9,9985
515,516,Belgium,Belgium Jupiler League,2009/2010,9,10001
516,517,Belgium,Belgium Jupiler League,2010/2011,1,9997
517,518,Belgium,Belgium Jupiler League,2010/2011,1,8571
518,519,Belgium,Belgium Jupiler League,2010/2011,1,8203
519,520,Belgium,Belgium Jupiler League,2010/2011,1,9991
520,521,Belgium,Belgium Jupiler League,2010/2011,1,8635
523,524,Belgium,Belgium Jupiler League,2010/2011,1,9987
524,525,Belgium,Belgium Jupiler League,2010/2011,10,8342
525,526,Belgium,Belgium Jupiler League,2010/2011,10,9985
526,527,Belgium,Belgium Jupiler League,2010/2011,10,10001
528,529,Belgium,Belgium Jupiler League,2010/2011,10,9994
529,530,Belgium,Belgium Jupiler League,2010/2011,10,8571
531,532,Belgium,Belgium Jupiler League,2010/2011,10,9984
532,533,Belgium,Belgium Jupiler League,2010/2011,11,9991
533,534,Belgium,Belgium Jupiler League,2010/2011,11,9987
535,536,Belgium,Belgium Jupiler League,2010/2011,11,8342
536,537,Belgium,Belgium Jupiler League,2010/2011,11,9994
537,538,Belgium,Belgium Jupiler League,2010/2011,11,6351
539,540,Belgium,Belgium Jupiler League,2010/2011,11,9984
540,541,Belgium,Belgium Jupiler League,2010/2011,12,8635
541,542,Belgium,Belgium Jupiler League,2010/2011,12,9985
542,543,Belgium,Belgium Jupiler League,2010/2011,12,9997
543,544,Belgium,Belgium Jupiler League,2010/2011,12,9994
544,545,Belgium,Belgium Jupiler League,2010/2011,12,8571
545,546,Belgium,Belgium Jupiler League,2010/2011,12,8203
547,548,Belgium,Belgium Jupiler League,2010/2011,12,9984
549,550,Belgium,Belgium Jupiler League,2010/2011,13,9991
550,551,Belgium,Belgium Jupiler League,2010/2011,13,8635
555,556,Belgium,Belgium Jupiler League,2010/2011,13,10001
557,558,Belgium,Belgium Jupiler League,2010/2011,14,6351
558,559,Belgium,Belgium Jupiler League,2010/2011,14,10000
559,560,Belgium,Belgium Jupiler League,2010/2011,14,8571
560,561,Belgium,Belgium Jupiler League,2010/2011,14,8203
563,564,Belgium,Belgium Jupiler League,2010/2011,14,9991
564,565,Belgium,Belgium Jupiler League,2010/2011,15,8342
565,566,Belgium,Belgium Jupiler League,2010/2011,15,8635
566,567,Belgium,Belgium Jupiler League,2010/2011,15,9987
567,568,Belgium,Belgium Jupiler League,2010/2011,15,9985
569,570,Belgium,Belgium Jupiler League,2010/2011,15,10001
570,571,Belgium,Belgium Jupiler League,2010/2011,15,9994
571,572,Belgium,Belgium Jupiler League,2010/2011,15,8203
572,573,Belgium,Belgium Jupiler League,2010/2011,16,9984
574,575,Belgium,Belgium Jupiler League,2010/2011,16,8635
575,576,Belgium,Belgium Jupiler League,2010/2011,16,10000
576,577,Belgium,Belgium Jupiler League,2010/2011,16,9987
577,578,Belgium,Belgium Jupiler League,2010/2011,16,9994
578,579,Belgium,Belgium Jupiler League,2010/2011,16,9997
579,580,Belgium,Belgium Jupiler League,2010/2011,16,6351
580,581,Belgium,Belgium Jupiler League,2010/2011,17,8635
581,582,Belgium,Belgium Jupiler League,2010/2011,17,9985
582,583,Belgium,Belgium Jupiler League,2010/2011,17,9991
583,584,Belgium,Belgium Jupiler League,2010/2011,17,9997
588,589,Belgium,Belgium Jupiler League,2010/2011,18,8342
